distritos,CEP_inicio,CEP_fim,seccional,distrito_policial,macrorregiao
Sé / República ,01000-000 ,01099-999 ,1,,Centro
Bom Retiro / Barra Funda ,01100-000 ,01199-999 ,1,,Centro
Santa Cecília / Consolação ,01200-000 ,01299-999 ,1,,Centro
Consolação / Bela Vista ,01300-000 ,01399-999 ,1,,Centro
Liberdade / Cambuci ,01500-000 ,01599-999 ,1,,Centro
Santana ,02000-000 ,02099-999 ,4,,Norte
Vila Maria ,02100-000 ,02199-999 ,,,Norte
Tucuruvi / Jaçanã ,02200-000 ,02299-999 ,,,Norte
Tremembé ,02300-000 ,02399-999 ,,,Norte
Mandaqui ,02400-000 ,02499-999 ,,,Norte
Casa Verde ,02500-000,02599-999 ,,,Norte
Cachoeirinha ,02600-000 ,02699-999 ,,,Norte
Limão ,02700-000 ,02799-999 ,,,Norte
Brasilândia ,02800-000 ,02899-999 ,,,Norte
Freguesia do Ó / Pirituba ,02900-000 ,02999-999 ,,,Norte
Pirituba / São Domingos ,05100-000 ,05199-999 ,,,Norte
Jaraguá / Perus ,05200-000 ,05299-999 ,,,Norte
Belém / Brás / Pari ,03000-000 ,03099-999 ,,,Leste
Mooca / Vila Prudente / Água Rasa ,03100-000 ,03199-999 ,,,Leste
São Lucas / Sapopemba ,03200-000 ,03299-999 ,,,Leste
Tatuapé / Vila Formosa ,03300-000 ,03399-999 ,,,Leste
Vila Carrão ,03400-000 ,03499-999 ,,,Leste
Vila Matilde / Artur Alvim ,03500-000 ,03599-999 ,,,Leste
Penha ,03600-000 ,03699-999 ,7,,Leste
Cangaiba / Ponte Rasa ,03700-000 ,03799-999 ,,,Leste
Ermelino Matarazzo ,03800-000 ,03899-999 ,,,Leste
São Mateus ,03900-000 ,03999-999 ,,,Leste
São Mateus pt2,08300-000 ,08399-999 ,,,Leste
São Miguel ,08000-000 ,08099-999 ,,,Leste
Itaim Paulista ,08100-000 ,08199-999 ,,,Leste
Itaquera ,08200-000 ,08299-999 ,,,Leste
Guaianazes ,08400-000 ,08499-999 ,7,,Leste
Vila Mariana / Moema ,04000-000 ,04099-999 ,,,Sul
Saúde ,04100-000 ,04199-999 ,,,Sul
Ipiranga (Vila Monumento) / Vila Mariana (Jardim da Gló ,01500-000 ,01599-999 ,,,Sul
Ipiranga / Sacomã ,04200-000 ,04299-999 ,,,Sul
Jabaquara ,04300-000 ,04399-999 ,,,Sul
Cidade Ademar / Pedreira ,04400-000 ,04499-999 ,,,Sul
Itaim Bibi ,04500-000 ,04599-999 ,,,Sul
Campo Belo ,04600-000 ,04699-999 ,,,Sul
Santo Amaro ,04700-000 ,04799-999 ,,,Sul
Cidade Dutra / Grajaú / Parelheiros ,04800-000 ,04899-999 ,,,Sul
Capela do Socorro ,04900-000 ,04999-999 ,,,Sul
Campo Limpo ,05700-000 ,05799-999 ,,,Sul
Capão Redondo ,05800-000 ,05899-999 ,,,Sul
Jardim Paulista ,01400-000 ,01499-999 ,,,Oeste
Lapa / Perdizes ,05000-000 ,05099-999 ,,,Oeste
Jaguara ,05100-000 ,05199-999 ,,,Oeste
Vila Leopoldina / Jaguaré / Rio Pequeno ,05300-000 ,05399-999 ,,,Oeste
Pinheiros / Alto de Pinheiros ,05400-000 ,05499-999 ,,,Oeste
Butantã ,05500-000 ,05599-999 ,,,Oeste
Morumbi / Vila Sônia ,05600-000 ,05699-999 ,,,Oeste
